defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_O,3,0,4.4697,,,,,,,Nb2Ni4O9,2.0997,-2.0509,4.968,DFT_PBE_U
V_O,5,0,4.711,,,,,,,Nb2Ni4O9,2.0997,-2.0509,4.968,DFT_PBE_U
V_O,2,0,4.9911,,,,,,,Nb2Ni4O9,2.0997,-2.0509,4.968,DFT_PBE_U
V_O,4,0,4.9735,,,,,,,Nb2Ni4O9,2.0997,-2.0509,4.968,DFT_PBE_U
V_O,1,0,4.8417,,,,,,,Nb2Ni4O9,2.0997,-2.0509,4.968,DFT_PBE_U
V_Ni,1,0,3.5937,,,,,,,Nb2Ni4O9,2.0997,-2.0509,4.968,DFT_PBE_U
V_Ni,2,0,3.7881,,,,,,,Nb2Ni4O9,2.0997,-2.0509,4.968,DFT_PBE_U
V_Nb,1,0,13.6482,,,,,,,Nb2Ni4O9,2.0997,-2.0509,4.968,DFT_PBE_U
