defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_O,6,0,6.1325,,,,,,,Al2Ba1O4,4.1114,-3.4627,1.534,DFT_PBE_U
V_O,3,0,6.1849,,,,,,,Al2Ba1O4,4.1114,-3.4627,1.534,DFT_PBE_U
V_O,5,0,6.0963,,,,,,,Al2Ba1O4,4.1114,-3.4627,1.534,DFT_PBE_U
V_O,2,0,6.1484,,,,,,,Al2Ba1O4,4.1114,-3.4627,1.534,DFT_PBE_U
V_O,4,0,6.1409,,,,,,,Al2Ba1O4,4.1114,-3.4627,1.534,DFT_PBE_U
V_O,1,0,6.1846,,,,,,,Al2Ba1O4,4.1114,-3.4627,1.534,DFT_PBE_U
V_Ba,2,0,9.5139,,,,,,,Al2Ba1O4,4.1114,-3.4627,1.534,DFT_PBE_U
V_Ba,1,0,9.5134,,,,,,,Al2Ba1O4,4.1114,-3.4627,1.534,DFT_PBE_U
V_Al,4,0,12.9796,,,,,,,Al2Ba1O4,4.1114,-3.4627,1.534,DFT_PBE_U
V_Al,3,0,13.2543,,,,,,,Al2Ba1O4,4.1114,-3.4627,1.534,DFT_PBE_U
V_Al,2,0,13.1338,,,,,,,Al2Ba1O4,4.1114,-3.4627,1.534,DFT_PBE_U
V_Al,1,0,13.0752,,,,,,,Al2Ba1O4,4.1114,-3.4627,1.534,DFT_PBE_U
