defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_O,6,0,2.4451,,,,,,,Co2Mn3O8,0.9788,-1.7434,2.608,DFT_PBE_U
V_O,3,0,2.1772,,,,,,,Co2Mn3O8,0.9788,-1.7434,2.608,DFT_PBE_U
V_O,5,0,3.0644,,,,,,,Co2Mn3O8,0.9788,-1.7434,2.608,DFT_PBE_U
V_O,2,0,3.2942,,,,,,,Co2Mn3O8,0.9788,-1.7434,2.608,DFT_PBE_U
V_O,4,0,3.6221,,,,,,,Co2Mn3O8,0.9788,-1.7434,2.608,DFT_PBE_U
V_O,1,0,2.204,,,,,,,Co2Mn3O8,0.9788,-1.7434,2.608,DFT_PBE_U
V_Mn,2,0,7.5779,,,,,,,Co2Mn3O8,0.9788,-1.7434,2.608,DFT_PBE_U
V_Mn,1,0,7.3842,,,,,,,Co2Mn3O8,0.9788,-1.7434,2.608,DFT_PBE_U
V_Co,2,0,4.6246,,,,,,,Co2Mn3O8,0.9788,-1.7434,2.608,DFT_PBE_U
V_Co,1,0,5.054,,,,,,,Co2Mn3O8,0.9788,-1.7434,2.608,DFT_PBE_U
