defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_O,3,0,4.9763,,,,,,,Co3La4O9,0.8269,-2.8775,5.312,DFT_PBE_U
V_O,5,0,5.2496,,,,,,,Co3La4O9,0.8269,-2.8775,5.312,DFT_PBE_U
V_O,2,0,5.9831,,,,,,,Co3La4O9,0.8269,-2.8775,5.312,DFT_PBE_U
V_O,4,0,4.974,,,,,,,Co3La4O9,0.8269,-2.8775,5.312,DFT_PBE_U
V_O,1,0,5.1746,,,,,,,Co3La4O9,0.8269,-2.8775,5.312,DFT_PBE_U
V_La,1,0,8.7473,,,,,,,Co3La4O9,0.8269,-2.8775,5.312,DFT_PBE_U
V_La,2,0,8.2736,,,,,,,Co3La4O9,0.8269,-2.8775,5.312,DFT_PBE_U
V_Co,2,0,2.1611,,,,,,,Co3La4O9,0.8269,-2.8775,5.312,DFT_PBE_U
V_Co,1,0,2.5478,,,,,,,Co3La4O9,0.8269,-2.8775,5.312,DFT_PBE_U
