defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_O,13,0,3.1182,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_O,4,0,3.4672,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_O,20,0,3.4512,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_O,7,0,3.5175,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_O,2,0,3.5308,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_O,5,0,3.2971,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_O,1,0,3.3653,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_O,18,0,3.3609,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_O,10,0,3.7312,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_O,12,0,3.5115,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_O,17,0,3.4571,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_O,9,0,3.658,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_O,8,0,3.2533,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_O,3,0,3.6066,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_O,6,0,3.4083,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_O,14,0,3.138,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_O,11,0,3.7633,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_O,19,0,3.4095,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_O,15,0,3.283,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_O,22,0,3.3964,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_O,21,0,3.5861,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_O,16,0,3.277,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_Fe,6,0,6.0427,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_Fe,7,0,5.7702,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_Fe,3,0,5.6215,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_Fe,9,0,5.8499,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_Fe,1,0,6.2446,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_Fe,2,0,5.8921,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_Fe,8,0,5.7434,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_Fe,10,0,6.1083,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_Fe,4,0,5.3943,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_Fe,11,0,6.2834,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_Fe,5,0,5.6771,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_Fe,12,0,5.9785,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_Ba,4,0,8.5808,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_Ba,2,0,7.7731,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_Ba,1,0,7.8059,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
V_Ba,3,0,7.8075,,,,,,,Ba2Fe6O11,1.454,-2.077,3.252,DFT_PBE_U
