defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_O,3,0,1.9811,,,,,,,Ba2Co1O4,1.2336,-2.3476,5.81,DFT_PBE_U
V_O,2,0,2.3064,,,,,,,Ba2Co1O4,1.2336,-2.3476,5.81,DFT_PBE_U
V_O,4,0,1.9508,,,,,,,Ba2Co1O4,1.2336,-2.3476,5.81,DFT_PBE_U
V_O,1,0,2.0999,,,,,,,Ba2Co1O4,1.2336,-2.3476,5.81,DFT_PBE_U
V_Co,1,0,7.3125,,,,,,,Ba2Co1O4,1.2336,-2.3476,5.81,DFT_PBE_U
V_Ba,2,0,7.9429,,,,,,,Ba2Co1O4,1.2336,-2.3476,5.81,DFT_PBE_U
V_Ba,1,0,7.233,,,,,,,Ba2Co1O4,1.2336,-2.3476,5.81,DFT_PBE_U
