defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_Sr,1,0,9.2149,,,,,,,Mn2O7Sr3,0.5149,-2.6087,4.955,DFT_PBE_U
V_Sr,2,0,8.3383,,,,,,,Mn2O7Sr3,0.5149,-2.6087,4.955,DFT_PBE_U
V_O,3,0,1.8934,,,,,,,Mn2O7Sr3,0.5149,-2.6087,4.955,DFT_PBE_U
V_O,2,0,2.5349,,,,,,,Mn2O7Sr3,0.5149,-2.6087,4.955,DFT_PBE_U
V_O,1,0,1.7739,,,,,,,Mn2O7Sr3,0.5149,-2.6087,4.955,DFT_PBE_U
V_Mn,1,0,8.6244,,,,,,,Mn2O7Sr3,0.5149,-2.6087,4.955,DFT_PBE_U
