defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_Ti,1,0,14.6727,,,,,,,O7Sr3Ti2,2.0175,-3.3976,2.203,DFT_PBE_U
V_Sr,1,0,8.8725,,,,,,,O7Sr3Ti2,2.0175,-3.3976,2.203,DFT_PBE_U
V_Sr,2,0,8.213,,,,,,,O7Sr3Ti2,2.0175,-3.3976,2.203,DFT_PBE_U
V_O,3,0,5.4334,,,,,,,O7Sr3Ti2,2.0175,-3.3976,2.203,DFT_PBE_U
V_O,2,0,5.393,,,,,,,O7Sr3Ti2,2.0175,-3.3976,2.203,DFT_PBE_U
V_O,1,0,5.1173,,,,,,,O7Sr3Ti2,2.0175,-3.3976,2.203,DFT_PBE_U
