defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_O,3,0,3.7144,,,,,,,Ba1Fe2O4,2.5877,-2.2301,14.055,DFT_PBE_U
V_O,5,0,3.0827,,,,,,,Ba1Fe2O4,2.5877,-2.2301,14.055,DFT_PBE_U
V_O,2,0,3.6714,,,,,,,Ba1Fe2O4,2.5877,-2.2301,14.055,DFT_PBE_U
V_O,4,0,3.0333,,,,,,,Ba1Fe2O4,2.5877,-2.2301,14.055,DFT_PBE_U
V_O,1,0,3.805,,,,,,,Ba1Fe2O4,2.5877,-2.2301,14.055,DFT_PBE_U
V_Fe,1,0,6.5596,,,,,,,Ba1Fe2O4,2.5877,-2.2301,14.055,DFT_PBE_U
V_Fe,2,0,6.6923,,,,,,,Ba1Fe2O4,2.5877,-2.2301,14.055,DFT_PBE_U
V_Ba,2,0,8.5509,,,,,,,Ba1Fe2O4,2.5877,-2.2301,14.055,DFT_PBE_U
V_Ba,1,0,9.0284,,,,,,,Ba1Fe2O4,2.5877,-2.2301,14.055,DFT_PBE_U
