defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_O,28,0,3.5554,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,5,0,3.4677,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,2,0,3.1799,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,20,0,3.5007,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,16,0,3.4188,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,4,0,3.1821,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,7,0,3.14,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,1,0,3.1738,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,9,0,3.03,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,13,0,3.5548,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,12,0,3.2187,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,26,0,3.021,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,18,0,3.4508,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,10,0,2.7819,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,8,0,3.3734,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,15,0,3.5327,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,23,0,3.44,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,27,0,3.1379,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,25,0,3.1846,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,11,0,3.2083,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,6,0,3.5184,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,24,0,3.3574,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,21,0,3.1778,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,14,0,3.5017,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,17,0,3.5005,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,19,0,3.3892,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,22,0,3.4613,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_O,3,0,3.1986,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_Fe,3,0,5.1716,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_Fe,14,0,6.3564,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_Fe,1,0,5.9559,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_Fe,9,0,6.6541,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_Fe,15,0,5.4274,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_Fe,8,0,5.999,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_Fe,6,0,5.8116,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_Fe,7,0,6.1325,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_Fe,4,0,5.6709,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_Fe,17,0,5.8498,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_Fe,10,0,6.8069,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_Fe,13,0,5.8713,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_Fe,20,0,6.1269,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_Fe,12,0,6.7844,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_Fe,16,0,5.0262,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_Fe,5,0,5.7493,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_Fe,18,0,5.9744,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_Fe,11,0,6.5455,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_Fe,19,0,6.313,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_Fe,2,0,6.0119,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_Ba,2,0,8.6095,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
V_Ba,1,0,8.8867,,,,,,,Ba1Fe12O19,1.1362,-1.8206,4.901,DFT_PBE_U
