defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_O,3,0,2.3539,,,,,,,Ca3Co2O6,0.9069,-2.4192,7.868,DFT_PBE_U
V_O,2,0,2.2547,,,,,,,Ca3Co2O6,0.9069,-2.4192,7.868,DFT_PBE_U
V_O,1,0,2.3136,,,,,,,Ca3Co2O6,0.9069,-2.4192,7.868,DFT_PBE_U
V_Co,2,0,3.8736,,,,,,,Ca3Co2O6,0.9069,-2.4192,7.868,DFT_PBE_U
V_Co,1,0,4.6554,,,,,,,Ca3Co2O6,0.9069,-2.4192,7.868,DFT_PBE_U
V_Ca,1,0,7.2471,,,,,,,Ca3Co2O6,0.9069,-2.4192,7.868,DFT_PBE_U
V_Ca,2,0,7.2142,,,,,,,Ca3Co2O6,0.9069,-2.4192,7.868,DFT_PBE_U
