defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_O,3,0,2.6558,,,,,,,Ba2Fe1O4,0.7901,-2.4686,8.279,DFT_PBE_U
V_O,2,0,2.4015,,,,,,,Ba2Fe1O4,0.7901,-2.4686,8.279,DFT_PBE_U
V_O,4,0,2.7749,,,,,,,Ba2Fe1O4,0.7901,-2.4686,8.279,DFT_PBE_U
V_O,1,0,2.2037,,,,,,,Ba2Fe1O4,0.7901,-2.4686,8.279,DFT_PBE_U
V_Fe,1,0,7.5688,,,,,,,Ba2Fe1O4,0.7901,-2.4686,8.279,DFT_PBE_U
V_Ba,2,0,7.6457,,,,,,,Ba2Fe1O4,0.7901,-2.4686,8.279,DFT_PBE_U
V_Ba,1,0,6.6419,,,,,,,Ba2Fe1O4,0.7901,-2.4686,8.279,DFT_PBE_U
