defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_Ti,1,0,14.4491,,,,,,,Ba1O9Ti4,2.8598,-3.3199,6.206,DFT_PBE_U
V_Ti,2,0,15.2226,,,,,,,Ba1O9Ti4,2.8598,-3.3199,6.206,DFT_PBE_U
V_O,5,0,6.0716,,,,,,,Ba1O9Ti4,2.8598,-3.3199,6.206,DFT_PBE_U
V_O,2,0,5.2112,,,,,,,Ba1O9Ti4,2.8598,-3.3199,6.206,DFT_PBE_U
V_O,4,0,5.3589,,,,,,,Ba1O9Ti4,2.8598,-3.3199,6.206,DFT_PBE_U
V_O,1,0,5.435,,,,,,,Ba1O9Ti4,2.8598,-3.3199,6.206,DFT_PBE_U
V_Ba,1,0,9.1164,,,,,,,Ba1O9Ti4,2.8598,-3.3199,6.206,DFT_PBE_U
