defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_O,4,0,6.2954,,,,,,,Al2Ca1O4,4.3548,-3.4471,1.326,DFT_PBE_U
V_O,9,0,6.1267,,,,,,,Al2Ca1O4,4.3548,-3.4471,1.326,DFT_PBE_U
V_O,6,0,6.2966,,,,,,,Al2Ca1O4,4.3548,-3.4471,1.326,DFT_PBE_U
V_O,3,0,6.3263,,,,,,,Al2Ca1O4,4.3548,-3.4471,1.326,DFT_PBE_U
V_O,8,0,6.3068,,,,,,,Al2Ca1O4,4.3548,-3.4471,1.326,DFT_PBE_U
V_O,10,0,6.3209,,,,,,,Al2Ca1O4,4.3548,-3.4471,1.326,DFT_PBE_U
V_O,5,0,6.4336,,,,,,,Al2Ca1O4,4.3548,-3.4471,1.326,DFT_PBE_U
V_O,12,0,6.2817,,,,,,,Al2Ca1O4,4.3548,-3.4471,1.326,DFT_PBE_U
V_O,2,0,6.185,,,,,,,Al2Ca1O4,4.3548,-3.4471,1.326,DFT_PBE_U
V_O,11,0,6.3739,,,,,,,Al2Ca1O4,4.3548,-3.4471,1.326,DFT_PBE_U
V_O,7,0,6.2656,,,,,,,Al2Ca1O4,4.3548,-3.4471,1.326,DFT_PBE_U
V_O,1,0,6.4142,,,,,,,Al2Ca1O4,4.3548,-3.4471,1.326,DFT_PBE_U
V_Ca,2,0,10.0675,,,,,,,Al2Ca1O4,4.3548,-3.4471,1.326,DFT_PBE_U
V_Ca,3,0,9.452,,,,,,,Al2Ca1O4,4.3548,-3.4471,1.326,DFT_PBE_U
V_Ca,1,0,10.5194,,,,,,,Al2Ca1O4,4.3548,-3.4471,1.326,DFT_PBE_U
V_Al,2,0,13.0792,,,,,,,Al2Ca1O4,4.3548,-3.4471,1.326,DFT_PBE_U
V_Al,5,0,13.1314,,,,,,,Al2Ca1O4,4.3548,-3.4471,1.326,DFT_PBE_U
V_Al,3,0,13.1017,,,,,,,Al2Ca1O4,4.3548,-3.4471,1.326,DFT_PBE_U
V_Al,6,0,12.7296,,,,,,,Al2Ca1O4,4.3548,-3.4471,1.326,DFT_PBE_U
V_Al,4,0,13.1883,,,,,,,Al2Ca1O4,4.3548,-3.4471,1.326,DFT_PBE_U
V_Al,1,0,12.7112,,,,,,,Al2Ca1O4,4.3548,-3.4471,1.326,DFT_PBE_U
