defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_Ti,1,0,14.8994,,,,,,,Ca3O7Ti2,2.5897,-3.3843,2.912,DFT_PBE_U
V_O,4,0,5.9078,,,,,,,Ca3O7Ti2,2.5897,-3.3843,2.912,DFT_PBE_U
V_O,2,0,5.7494,,,,,,,Ca3O7Ti2,2.5897,-3.3843,2.912,DFT_PBE_U
V_O,3,0,5.7714,,,,,,,Ca3O7Ti2,2.5897,-3.3843,2.912,DFT_PBE_U
V_O,1,0,5.5141,,,,,,,Ca3O7Ti2,2.5897,-3.3843,2.912,DFT_PBE_U
V_Ca,1,0,9.3329,,,,,,,Ca3O7Ti2,2.5897,-3.3843,2.912,DFT_PBE_U
V_Ca,2,0,8.87,,,,,,,Ca3O7Ti2,2.5897,-3.3843,2.912,DFT_PBE_U
