defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_Ti,1,0,14.1976,,,,,,,La4O12Ti3,3.0176,-3.6398,9.312,DFT_PBE_U
V_Ti,2,0,14.6461,,,,,,,La4O12Ti3,3.0176,-3.6398,9.312,DFT_PBE_U
V_O,2,0,5.7683,,,,,,,La4O12Ti3,3.0176,-3.6398,9.312,DFT_PBE_U
V_O,1,0,5.8879,,,,,,,La4O12Ti3,3.0176,-3.6398,9.312,DFT_PBE_U
V_La,1,0,12.3322,,,,,,,La4O12Ti3,3.0176,-3.6398,9.312,DFT_PBE_U
V_La,2,0,13.1989,,,,,,,La4O12Ti3,3.0176,-3.6398,9.312,DFT_PBE_U
