defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_O,3,0,6.198,,,,,,,La3Nb1O7,3.0469,-3.636,4.821,DFT_PBE_U
V_O,2,0,5.9297,,,,,,,La3Nb1O7,3.0469,-3.636,4.821,DFT_PBE_U
V_O,4,0,6.0716,,,,,,,La3Nb1O7,3.0469,-3.636,4.821,DFT_PBE_U
V_O,1,0,6.0688,,,,,,,La3Nb1O7,3.0469,-3.636,4.821,DFT_PBE_U
V_Nb,1,0,16.8036,,,,,,,La3Nb1O7,3.0469,-3.636,4.821,DFT_PBE_U
V_La,1,0,13.6588,,,,,,,La3Nb1O7,3.0469,-3.636,4.821,DFT_PBE_U
V_La,2,0,12.9914,,,,,,,La3Nb1O7,3.0469,-3.636,4.821,DFT_PBE_U
