defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_Y,1,0,13.2054,,,,,,,O4Sr1Y2,3.9198,-3.7012,1.395,DFT_PBE_U
V_Y,2,0,12.4706,,,,,,,O4Sr1Y2,3.9198,-3.7012,1.395,DFT_PBE_U
V_Sr,1,0,7.9167,,,,,,,O4Sr1Y2,3.9198,-3.7012,1.395,DFT_PBE_U
V_O,3,0,6.6705,,,,,,,O4Sr1Y2,3.9198,-3.7012,1.395,DFT_PBE_U
V_O,2,0,6.6208,,,,,,,O4Sr1Y2,3.9198,-3.7012,1.395,DFT_PBE_U
V_O,4,0,6.6572,,,,,,,O4Sr1Y2,3.9198,-3.7012,1.395,DFT_PBE_U
V_O,1,0,6.6199,,,,,,,O4Sr1Y2,3.9198,-3.7012,1.395,DFT_PBE_U
