defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_Sr,5,0,7.6886,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_Sr,6,0,7.739,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_Sr,2,0,7.6652,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_Sr,3,0,7.5865,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_Sr,1,0,7.5952,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_Sr,4,0,7.588,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_O,8,0,1.7103,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_O,13,0,0.9633,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_O,9,0,1.7076,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_O,1,0,2.8092,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_O,7,0,1.6966,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_O,4,0,2.9466,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_O,5,0,3.075,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_O,2,0,2.8073,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_O,15,0,0.6908,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_O,10,0,1.101,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_O,3,0,2.8191,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_O,6,0,2.9496,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_O,14,0,1.124,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_O,11,0,1.1027,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_O,12,0,1.112,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_Co,5,0,5.6554,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_Co,1,0,4.305,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_Co,2,0,5.204,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_Co,4,0,4.817,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
V_Co,3,0,5.1194,,,,,,,Co5O15Sr6,0.9149,-2.2293,6.062,DFT_PBE_U
