defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_Sr,2,0,10.2536,,,,,,,Nb2O7Sr2,2.6865,-3.2126,2.22,DFT_PBE_U
V_Sr,3,0,9.2264,,,,,,,Nb2O7Sr2,2.6865,-3.2126,2.22,DFT_PBE_U
V_Sr,1,0,9.2192,,,,,,,Nb2O7Sr2,2.6865,-3.2126,2.22,DFT_PBE_U
V_Sr,4,0,10.2463,,,,,,,Nb2O7Sr2,2.6865,-3.2126,2.22,DFT_PBE_U
V_O,11,0,5.8118,,,,,,,Nb2O7Sr2,2.6865,-3.2126,2.22,DFT_PBE_U
V_O,14,0,5.7709,,,,,,,Nb2O7Sr2,2.6865,-3.2126,2.22,DFT_PBE_U
V_O,10,0,5.5471,,,,,,,Nb2O7Sr2,2.6865,-3.2126,2.22,DFT_PBE_U
V_O,12,0,5.5958,,,,,,,Nb2O7Sr2,2.6865,-3.2126,2.22,DFT_PBE_U
V_O,13,0,5.6843,,,,,,,Nb2O7Sr2,2.6865,-3.2126,2.22,DFT_PBE_U
V_O,9,0,5.4793,,,,,,,Nb2O7Sr2,2.6865,-3.2126,2.22,DFT_PBE_U
V_O,1,0,5.731,,,,,,,Nb2O7Sr2,2.6865,-3.2126,2.22,DFT_PBE_U
V_O,7,0,5.2334,,,,,,,Nb2O7Sr2,2.6865,-3.2126,2.22,DFT_PBE_U
V_O,4,0,5.8478,,,,,,,Nb2O7Sr2,2.6865,-3.2126,2.22,DFT_PBE_U
V_O,2,0,5.4724,,,,,,,Nb2O7Sr2,2.6865,-3.2126,2.22,DFT_PBE_U
V_O,5,0,5.6802,,,,,,,Nb2O7Sr2,2.6865,-3.2126,2.22,DFT_PBE_U
V_O,3,0,5.5227,,,,,,,Nb2O7Sr2,2.6865,-3.2126,2.22,DFT_PBE_U
V_O,6,0,5.6932,,,,,,,Nb2O7Sr2,2.6865,-3.2126,2.22,DFT_PBE_U
V_O,8,0,5.7292,,,,,,,Nb2O7Sr2,2.6865,-3.2126,2.22,DFT_PBE_U
V_Nb,2,0,12.959,,,,,,,Nb2O7Sr2,2.6865,-3.2126,2.22,DFT_PBE_U
V_Nb,3,0,16.6652,,,,,,,Nb2O7Sr2,2.6865,-3.2126,2.22,DFT_PBE_U
V_Nb,1,0,16.3751,,,,,,,Nb2O7Sr2,2.6865,-3.2126,2.22,DFT_PBE_U
V_Nb,4,0,13.9087,,,,,,,Nb2O7Sr2,2.6865,-3.2126,2.22,DFT_PBE_U
