defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_O,9,0,2.4419,,,,,,,Co3La3O8,0.8252,-2.6788,8.171,DFT_PBE_U
V_O,6,0,2.8147,,,,,,,Co3La3O8,0.8252,-2.6788,8.171,DFT_PBE_U
V_O,3,0,4.1053,,,,,,,Co3La3O8,0.8252,-2.6788,8.171,DFT_PBE_U
V_O,5,0,2.9002,,,,,,,Co3La3O8,0.8252,-2.6788,8.171,DFT_PBE_U
V_O,8,0,2.6891,,,,,,,Co3La3O8,0.8252,-2.6788,8.171,DFT_PBE_U
V_O,2,0,4.3804,,,,,,,Co3La3O8,0.8252,-2.6788,8.171,DFT_PBE_U
V_O,4,0,3.8718,,,,,,,Co3La3O8,0.8252,-2.6788,8.171,DFT_PBE_U
V_O,7,0,2.5753,,,,,,,Co3La3O8,0.8252,-2.6788,8.171,DFT_PBE_U
V_O,1,0,4.3676,,,,,,,Co3La3O8,0.8252,-2.6788,8.171,DFT_PBE_U
V_O,10,0,2.4889,,,,,,,Co3La3O8,0.8252,-2.6788,8.171,DFT_PBE_U
V_La,3,0,8.737,,,,,,,Co3La3O8,0.8252,-2.6788,8.171,DFT_PBE_U
V_La,2,0,8.6911,,,,,,,Co3La3O8,0.8252,-2.6788,8.171,DFT_PBE_U
V_La,4,0,8.6882,,,,,,,Co3La3O8,0.8252,-2.6788,8.171,DFT_PBE_U
V_La,1,0,8.7043,,,,,,,Co3La3O8,0.8252,-2.6788,8.171,DFT_PBE_U
V_Co,2,0,2.5454,,,,,,,Co3La3O8,0.8252,-2.6788,8.171,DFT_PBE_U
V_Co,1,0,2.6016,,,,,,,Co3La3O8,0.8252,-2.6788,8.171,DFT_PBE_U
V_Co,4,0,3.0009,,,,,,,Co3La3O8,0.8252,-2.6788,8.171,DFT_PBE_U
V_Co,3,0,2.8148,,,,,,,Co3La3O8,0.8252,-2.6788,8.171,DFT_PBE_U
