defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_Y,1,0,11.9325,,,,,,,Ba3O9Y4,3.2395,-3.5265,1.418,DFT_PBE_U
V_Y,3,0,11.9245,,,,,,,Ba3O9Y4,3.2395,-3.5265,1.418,DFT_PBE_U
V_Y,2,0,12.5469,,,,,,,Ba3O9Y4,3.2395,-3.5265,1.418,DFT_PBE_U
V_Y,4,0,12.5976,,,,,,,Ba3O9Y4,3.2395,-3.5265,1.418,DFT_PBE_U
V_O,2,0,6.129,,,,,,,Ba3O9Y4,3.2395,-3.5265,1.418,DFT_PBE_U
V_O,3,0,6.1053,,,,,,,Ba3O9Y4,3.2395,-3.5265,1.418,DFT_PBE_U
V_O,1,0,6.3296,,,,,,,Ba3O9Y4,3.2395,-3.5265,1.418,DFT_PBE_U
V_Ba,2,0,6.7472,,,,,,,Ba3O9Y4,3.2395,-3.5265,1.418,DFT_PBE_U
V_Ba,3,0,7.8051,,,,,,,Ba3O9Y4,3.2395,-3.5265,1.418,DFT_PBE_U
V_Ba,1,0,6.7758,,,,,,,Ba3O9Y4,3.2395,-3.5265,1.418,DFT_PBE_U
