defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_Sr,3,0,8.7532,,,,,,,Nb2O9Sr4,3.8249,-3.2261,3.993,DFT_PBE_U
V_Sr,1,0,10.2221,,,,,,,Nb2O9Sr4,3.8249,-3.2261,3.993,DFT_PBE_U
V_Sr,2,0,8.5417,,,,,,,Nb2O9Sr4,3.8249,-3.2261,3.993,DFT_PBE_U
V_O,2,0,5.4155,,,,,,,Nb2O9Sr4,3.8249,-3.2261,3.993,DFT_PBE_U
V_O,1,0,5.703,,,,,,,Nb2O9Sr4,3.8249,-3.2261,3.993,DFT_PBE_U
V_Nb,1,0,16.0467,,,,,,,Nb2O9Sr4,3.8249,-3.2261,3.993,DFT_PBE_U
