defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_O,3,0,3.9338,,,,,,,Ca1Co2O4,1.5016,-1.9394,7.574,DFT_PBE_U
V_O,2,0,3.3239,,,,,,,Ca1Co2O4,1.5016,-1.9394,7.574,DFT_PBE_U
V_O,4,0,3.5178,,,,,,,Ca1Co2O4,1.5016,-1.9394,7.574,DFT_PBE_U
V_O,1,0,4.3137,,,,,,,Ca1Co2O4,1.5016,-1.9394,7.574,DFT_PBE_U
V_Co,2,0,4.7683,,,,,,,Ca1Co2O4,1.5016,-1.9394,7.574,DFT_PBE_U
V_Co,1,0,5.3245,,,,,,,Ca1Co2O4,1.5016,-1.9394,7.574,DFT_PBE_U
V_Ca,1,0,6.6939,,,,,,,Ca1Co2O4,1.5016,-1.9394,7.574,DFT_PBE_U
