defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_Ti,1,0,15.0145,,,,,,,La2O5Ti1,3.4608,-3.7207,5.608,DFT_PBE_U
V_O,3,0,5.6119,,,,,,,La2O5Ti1,3.4608,-3.7207,5.608,DFT_PBE_U
V_O,5,0,5.9992,,,,,,,La2O5Ti1,3.4608,-3.7207,5.608,DFT_PBE_U
V_O,2,0,6.0535,,,,,,,La2O5Ti1,3.4608,-3.7207,5.608,DFT_PBE_U
V_O,4,0,6.7189,,,,,,,La2O5Ti1,3.4608,-3.7207,5.608,DFT_PBE_U
V_O,1,0,6.2634,,,,,,,La2O5Ti1,3.4608,-3.7207,5.608,DFT_PBE_U
V_La,1,0,13.3549,,,,,,,La2O5Ti1,3.4608,-3.7207,5.608,DFT_PBE_U
V_La,2,0,13.8748,,,,,,,La2O5Ti1,3.4608,-3.7207,5.608,DFT_PBE_U
