defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_O,2,0,3.0909,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,12,0,3.1982,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,9,0,3.1312,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,1,0,3.0812,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,7,0,3.1175,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,4,0,3.1168,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,16,0,3.3278,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,20,0,3.6341,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,25,0,3.6446,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,27,0,3.2353,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,26,0,3.2711,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,5,0,3.115,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,18,0,3.5013,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,10,0,3.4078,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,13,0,3.1672,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,21,0,3.6541,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,23,0,3.6604,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,3,0,3.0575,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,6,0,3.0917,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,14,0,3.3179,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,24,0,3.6338,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,11,0,3.2116,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,17,0,3.3513,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,8,0,3.123,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,19,0,3.6933,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,15,0,3.4208,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_O,22,0,3.6541,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_Fe,9,0,4.1851,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_Fe,3,0,6.1198,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_Fe,7,0,3.3331,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_Fe,15,0,5.012,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_Fe,1,0,4.9964,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_Fe,16,0,5.2874,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_Fe,13,0,5.0385,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_Fe,6,0,3.1428,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_Fe,18,0,5.3872,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_Fe,10,0,2.7676,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_Fe,4,0,4.0468,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_Fe,11,0,2.7366,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_Fe,5,0,4.0196,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_Fe,12,0,2.7589,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_Fe,17,0,5.3136,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_Fe,14,0,5.0081,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_Fe,8,0,4.3224,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_Fe,2,0,6.3658,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
V_Ba,1,0,8.436,,,,,,,Ba1Fe18O27,0.2833,-1.7717,4.683,DFT_PBE_U
