defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_O,7,0,1.2223,,,,,,,Ba1Fe1O3,0.6255,-2.2171,5.238,DFT_PBE_U
V_O,10,0,0.8996,,,,,,,Ba1Fe1O3,0.6255,-2.2171,5.238,DFT_PBE_U
V_O,3,0,0.2815,,,,,,,Ba1Fe1O3,0.6255,-2.2171,5.238,DFT_PBE_U
V_O,8,0,1.1015,,,,,,,Ba1Fe1O3,0.6255,-2.2171,5.238,DFT_PBE_U
V_O,5,0,1.0307,,,,,,,Ba1Fe1O3,0.6255,-2.2171,5.238,DFT_PBE_U
V_O,2,0,0.5346,,,,,,,Ba1Fe1O3,0.6255,-2.2171,5.238,DFT_PBE_U
V_O,4,0,0.4659,,,,,,,Ba1Fe1O3,0.6255,-2.2171,5.238,DFT_PBE_U
V_O,6,0,1.2079,,,,,,,Ba1Fe1O3,0.6255,-2.2171,5.238,DFT_PBE_U
V_O,1,0,0.5393,,,,,,,Ba1Fe1O3,0.6255,-2.2171,5.238,DFT_PBE_U
V_O,9,0,1.2119,,,,,,,Ba1Fe1O3,0.6255,-2.2171,5.238,DFT_PBE_U
V_Fe,1,0,4.6834,,,,,,,Ba1Fe1O3,0.6255,-2.2171,5.238,DFT_PBE_U
V_Fe,2,0,6.0835,,,,,,,Ba1Fe1O3,0.6255,-2.2171,5.238,DFT_PBE_U
V_Fe,3,0,6.0459,,,,,,,Ba1Fe1O3,0.6255,-2.2171,5.238,DFT_PBE_U
V_Ba,3,0,8.2445,,,,,,,Ba1Fe1O3,0.6255,-2.2171,5.238,DFT_PBE_U
V_Ba,4,0,8.181,,,,,,,Ba1Fe1O3,0.6255,-2.2171,5.238,DFT_PBE_U
V_Ba,1,0,8.5023,,,,,,,Ba1Fe1O3,0.6255,-2.2171,5.238,DFT_PBE_U
V_Ba,2,0,8.4448,,,,,,,Ba1Fe1O3,0.6255,-2.2171,5.238,DFT_PBE_U
