defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_Y,1,0,14.2343,,,,,,,O5Ti1Y2,3.4185,-3.7696,4.899,DFT_PBE_U
V_Y,2,0,13.9095,,,,,,,O5Ti1Y2,3.4185,-3.7696,4.899,DFT_PBE_U
V_Ti,1,0,15.0991,,,,,,,O5Ti1Y2,3.4185,-3.7696,4.899,DFT_PBE_U
V_O,3,0,5.8786,,,,,,,O5Ti1Y2,3.4185,-3.7696,4.899,DFT_PBE_U
V_O,5,0,5.658,,,,,,,O5Ti1Y2,3.4185,-3.7696,4.899,DFT_PBE_U
V_O,2,0,6.2371,,,,,,,O5Ti1Y2,3.4185,-3.7696,4.899,DFT_PBE_U
V_O,4,0,6.1246,,,,,,,O5Ti1Y2,3.4185,-3.7696,4.899,DFT_PBE_U
V_O,1,0,6.5839,,,,,,,O5Ti1Y2,3.4185,-3.7696,4.899,DFT_PBE_U
