defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_O,3,0,2.2759,,,,,,,La1Mn2O5,1.4015,-2.6116,3.983,DFT_PBE_U
V_O,2,0,3.1434,,,,,,,La1Mn2O5,1.4015,-2.6116,3.983,DFT_PBE_U
V_O,4,0,2.9048,,,,,,,La1Mn2O5,1.4015,-2.6116,3.983,DFT_PBE_U
V_O,1,0,3.6029,,,,,,,La1Mn2O5,1.4015,-2.6116,3.983,DFT_PBE_U
V_Mn,2,0,8.2704,,,,,,,La1Mn2O5,1.4015,-2.6116,3.983,DFT_PBE_U
V_Mn,1,0,8.341,,,,,,,La1Mn2O5,1.4015,-2.6116,3.983,DFT_PBE_U
V_La,1,0,13.0554,,,,,,,La1Mn2O5,1.4015,-2.6116,3.983,DFT_PBE_U
