defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_Y,1,0,14.3537,,,,,,,Al2O9Y4,4.122,-3.8148,1.535,DFT_PBE_U
V_Y,3,0,13.9831,,,,,,,Al2O9Y4,4.122,-3.8148,1.535,DFT_PBE_U
V_Y,2,0,15.0419,,,,,,,Al2O9Y4,4.122,-3.8148,1.535,DFT_PBE_U
V_Y,4,0,14.3845,,,,,,,Al2O9Y4,4.122,-3.8148,1.535,DFT_PBE_U
V_O,6,0,6.1492,,,,,,,Al2O9Y4,4.122,-3.8148,1.535,DFT_PBE_U
V_O,3,0,6.7059,,,,,,,Al2O9Y4,4.122,-3.8148,1.535,DFT_PBE_U
V_O,5,0,6.3322,,,,,,,Al2O9Y4,4.122,-3.8148,1.535,DFT_PBE_U
V_O,2,0,6.1876,,,,,,,Al2O9Y4,4.122,-3.8148,1.535,DFT_PBE_U
V_O,4,0,6.7954,,,,,,,Al2O9Y4,4.122,-3.8148,1.535,DFT_PBE_U
V_O,7,0,6.1696,,,,,,,Al2O9Y4,4.122,-3.8148,1.535,DFT_PBE_U
V_O,1,0,6.1713,,,,,,,Al2O9Y4,4.122,-3.8148,1.535,DFT_PBE_U
V_O,9,0,5.7929,,,,,,,Al2O9Y4,4.122,-3.8148,1.535,DFT_PBE_U
V_O,8,0,6.2906,,,,,,,Al2O9Y4,4.122,-3.8148,1.535,DFT_PBE_U
V_Al,2,0,12.4359,,,,,,,Al2O9Y4,4.122,-3.8148,1.535,DFT_PBE_U
V_Al,1,0,12.5622,,,,,,,Al2O9Y4,4.122,-3.8148,1.535,DFT_PBE_U
