defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_Ti,1,0,15.2341,,,,,,,Ba1O5Ti2,2.9058,-3.3544,3.466,DFT_PBE_U
V_Ti,2,0,14.683,,,,,,,Ba1O5Ti2,2.9058,-3.3544,3.466,DFT_PBE_U
V_O,3,0,5.8221,,,,,,,Ba1O5Ti2,2.9058,-3.3544,3.466,DFT_PBE_U
V_O,5,0,5.5756,,,,,,,Ba1O5Ti2,2.9058,-3.3544,3.466,DFT_PBE_U
V_O,2,0,5.4485,,,,,,,Ba1O5Ti2,2.9058,-3.3544,3.466,DFT_PBE_U
V_O,4,0,6.0078,,,,,,,Ba1O5Ti2,2.9058,-3.3544,3.466,DFT_PBE_U
V_O,1,0,5.5111,,,,,,,Ba1O5Ti2,2.9058,-3.3544,3.466,DFT_PBE_U
V_Ba,1,0,9.9495,,,,,,,Ba1O5Ti2,2.9058,-3.3544,3.466,DFT_PBE_U
