defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_Sr,1,0,8.6527,,,,,,,Co1O3Sr1,0.4887,-1.9561,6.539,DFT_PBE_U
V_Sr,4,0,8.3443,,,,,,,Co1O3Sr1,0.4887,-1.9561,6.539,DFT_PBE_U
V_Sr,2,0,9.3071,,,,,,,Co1O3Sr1,0.4887,-1.9561,6.539,DFT_PBE_U
V_O,4,0,3.1962,,,,,,,Co1O3Sr1,0.4887,-1.9561,6.539,DFT_PBE_U
V_O,10,0,0.2988,,,,,,,Co1O3Sr1,0.4887,-1.9561,6.539,DFT_PBE_U
V_O,6,0,2.38,,,,,,,Co1O3Sr1,0.4887,-1.9561,6.539,DFT_PBE_U
V_O,3,0,2.7913,,,,,,,Co1O3Sr1,0.4887,-1.9561,6.539,DFT_PBE_U
V_O,5,0,2.8475,,,,,,,Co1O3Sr1,0.4887,-1.9561,6.539,DFT_PBE_U
V_O,8,0,2.3349,,,,,,,Co1O3Sr1,0.4887,-1.9561,6.539,DFT_PBE_U
V_O,2,0,2.8649,,,,,,,Co1O3Sr1,0.4887,-1.9561,6.539,DFT_PBE_U
V_O,11,0,0.3353,,,,,,,Co1O3Sr1,0.4887,-1.9561,6.539,DFT_PBE_U
V_O,7,0,2.4032,,,,,,,Co1O3Sr1,0.4887,-1.9561,6.539,DFT_PBE_U
V_O,1,0,2.4789,,,,,,,Co1O3Sr1,0.4887,-1.9561,6.539,DFT_PBE_U
V_O,9,0,0.2835,,,,,,,Co1O3Sr1,0.4887,-1.9561,6.539,DFT_PBE_U
V_O,12,0,0.3052,,,,,,,Co1O3Sr1,0.4887,-1.9561,6.539,DFT_PBE_U
V_Co,2,0,5.0523,,,,,,,Co1O3Sr1,0.4887,-1.9561,6.539,DFT_PBE_U
V_Co,1,0,4.9995,,,,,,,Co1O3Sr1,0.4887,-1.9561,6.539,DFT_PBE_U
V_Co,4,0,4.8635,,,,,,,Co1O3Sr1,0.4887,-1.9561,6.539,DFT_PBE_U
V_Co,3,0,5.1714,,,,,,,Co1O3Sr1,0.4887,-1.9561,6.539,DFT_PBE_U
