defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory
V_O,6,0,5.9504,,,,,,,Al1Fe1O3,1.9542,-2.5703,12.407,DFT_PBE_U
V_O,3,0,3.7559,,,,,,,Al1Fe1O3,1.9542,-2.5703,12.407,DFT_PBE_U
V_O,5,0,3.3084,,,,,,,Al1Fe1O3,1.9542,-2.5703,12.407,DFT_PBE_U
V_O,2,0,5.5057,,,,,,,Al1Fe1O3,1.9542,-2.5703,12.407,DFT_PBE_U
V_O,4,0,4.4172,,,,,,,Al1Fe1O3,1.9542,-2.5703,12.407,DFT_PBE_U
V_O,1,0,4.6654,,,,,,,Al1Fe1O3,1.9542,-2.5703,12.407,DFT_PBE_U
V_Fe,1,0,6.864,,,,,,,Al1Fe1O3,1.9542,-2.5703,12.407,DFT_PBE_U
V_Fe,2,0,7.392,,,,,,,Al1Fe1O3,1.9542,-2.5703,12.407,DFT_PBE_U
V_Al,2,0,10.9445,,,,,,,Al1Fe1O3,1.9542,-2.5703,12.407,DFT_PBE_U
V_Al,1,0,11.2237,,,,,,,Al1Fe1O3,1.9542,-2.5703,12.407,DFT_PBE_U
